"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de margarine et graisses comestibles similaires (NAF rév. 2, niveau classe, poste 10.42)";"Codes"
"idBank";"010767629";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2003-08";"(s)";"Q"
"2003-07";"(s)";"Q"
"2003-06";"(s)";"Q"
"2003-05";"(s)";"Q"
"2003-04";"(s)";"Q"
"2003-03";"(s)";"Q"
"2003-02";"(s)";"Q"
"2003-01";"(s)";"Q"
"2002-12";"(s)";"Q"
"2002-11";"(s)";"Q"
"2002-10";"(s)";"Q"
"2002-09";"(s)";"Q"
"2002-08";"(s)";"Q"
"2002-07";"(s)";"Q"
"2002-06";"(s)";"Q"
"2002-05";"(s)";"Q"
"2002-04";"(s)";"Q"
"2002-03";"(s)";"Q"
"2002-02";"(s)";"Q"
"2002-01";"(s)";"Q"
"2001-12";"(s)";"Q"
"2001-11";"(s)";"Q"
"2001-10";"(s)";"Q"
"2001-09";"(s)";"Q"
"2001-08";"(s)";"Q"
"2001-07";"(s)";"Q"
"2001-06";"(s)";"Q"
"2001-05";"(s)";"Q"
"2001-04";"(s)";"Q"
"2001-03";"(s)";"Q"
"2001-02";"(s)";"Q"
"2001-01";"(s)";"Q"
"2000-12";"(s)";"Q"
"2000-11";"(s)";"Q"
"2000-10";"(s)";"Q"
"2000-09";"(s)";"Q"
"2000-08";"(s)";"Q"
"2000-07";"(s)";"Q"
"2000-06";"(s)";"Q"
"2000-05";"(s)";"Q"
"2000-04";"(s)";"Q"
"2000-03";"(s)";"Q"
"2000-02";"(s)";"Q"
"2000-01";"(s)";"Q"
"1999-12";"(s)";"Q"
"1999-11";"(s)";"Q"
"1999-10";"(s)";"Q"
"1999-09";"(s)";"Q"
"1999-08";"(s)";"Q"
"1999-07";"(s)";"Q"
"1999-06";"(s)";"Q"
"1999-05";"(s)";"Q"
"1999-04";"(s)";"Q"
"1999-03";"(s)";"Q"
"1999-02";"(s)";"Q"
"1999-01";"(s)";"Q"
"1998-12";"(s)";"Q"
"1998-11";"(s)";"Q"
"1998-10";"(s)";"Q"
"1998-09";"(s)";"Q"
"1998-08";"(s)";"Q"
"1998-07";"(s)";"Q"
"1998-06";"(s)";"Q"
"1998-05";"(s)";"Q"
"1998-04";"(s)";"Q"
"1998-03";"(s)";"Q"
"1998-02";"(s)";"Q"
"1998-01";"(s)";"Q"
"1997-12";"(s)";"Q"
"1997-11";"(s)";"Q"
"1997-10";"(s)";"Q"
"1997-09";"(s)";"Q"
"1997-08";"(s)";"Q"
"1997-07";"(s)";"Q"
"1997-06";"(s)";"Q"
"1997-05";"(s)";"Q"
"1997-04";"(s)";"Q"
"1997-03";"(s)";"Q"
"1997-02";"(s)";"Q"
"1997-01";"(s)";"Q"
"1996-12";"(s)";"Q"
"1996-11";"(s)";"Q"
"1996-10";"(s)";"Q"
"1996-09";"(s)";"Q"
"1996-08";"(s)";"Q"
"1996-07";"(s)";"Q"
"1996-06";"(s)";"Q"
"1996-05";"(s)";"Q"
"1996-04";"(s)";"Q"
"1996-03";"(s)";"Q"
"1996-02";"(s)";"Q"
"1996-01";"(s)";"Q"
"1995-12";"(s)";"Q"
"1995-11";"(s)";"Q"
"1995-10";"(s)";"Q"
"1995-09";"(s)";"Q"
"1995-08";"(s)";"Q"
"1995-07";"(s)";"Q"
"1995-06";"(s)";"Q"
"1995-05";"(s)";"Q"
"1995-04";"(s)";"Q"
"1995-03";"(s)";"Q"
"1995-02";"(s)";"Q"
"1995-01";"(s)";"Q"
"1994-12";"(s)";"Q"
"1994-11";"(s)";"Q"
"1994-10";"(s)";"Q"
"1994-09";"(s)";"Q"
"1994-08";"(s)";"Q"
"1994-07";"(s)";"Q"
"1994-06";"(s)";"Q"
"1994-05";"(s)";"Q"
"1994-04";"(s)";"Q"
"1994-03";"(s)";"Q"
"1994-02";"(s)";"Q"
"1994-01";"(s)";"Q"
"1993-12";"(s)";"Q"
"1993-11";"(s)";"Q"
"1993-10";"(s)";"Q"
"1993-09";"(s)";"Q"
"1993-08";"(s)";"Q"
"1993-07";"(s)";"Q"
"1993-06";"(s)";"Q"
"1993-05";"(s)";"Q"
"1993-04";"(s)";"Q"
"1993-03";"(s)";"Q"
"1993-02";"(s)";"Q"
"1993-01";"(s)";"Q"
"1992-12";"(s)";"Q"
"1992-11";"(s)";"Q"
"1992-10";"(s)";"Q"
"1992-09";"(s)";"Q"
"1992-08";"(s)";"Q"
"1992-07";"(s)";"Q"
"1992-06";"(s)";"Q"
"1992-05";"(s)";"Q"
"1992-04";"(s)";"Q"
"1992-03";"(s)";"Q"
"1992-02";"(s)";"Q"
"1992-01";"(s)";"Q"
"1991-12";"(s)";"Q"
"1991-11";"(s)";"Q"
"1991-10";"(s)";"Q"
"1991-09";"(s)";"Q"
"1991-08";"(s)";"Q"
"1991-07";"(s)";"Q"
"1991-06";"(s)";"Q"
"1991-05";"(s)";"Q"
"1991-04";"(s)";"Q"
"1991-03";"(s)";"Q"
"1991-02";"(s)";"Q"
"1991-01";"(s)";"Q"
"1990-12";"(s)";"Q"
"1990-11";"(s)";"Q"
"1990-10";"(s)";"Q"
"1990-09";"(s)";"Q"
"1990-08";"(s)";"Q"
"1990-07";"(s)";"Q"
"1990-06";"(s)";"Q"
"1990-05";"(s)";"Q"
"1990-04";"(s)";"Q"
"1990-03";"(s)";"Q"
"1990-02";"(s)";"Q"
"1990-01";"(s)";"Q"
